option_name_normalized,concept,concept_id,name_needs_review,raw_option_value,normalized_option_value
ADD_HUBEN_HANDPUMP,ADDON,ADD,no,Yes: Add Handpump,YES_ADD_HANDPUMP
ADD_KIT_SUPPRESSOR_ADAPTER_HARNESS,ADDON,ADD,no,No,NONE
ADD_KIT_SUPPRESSOR_ADAPTER_HARNESS,ADDON,ADD,no,Yes: Add kit (suppr + adapter + harness),YES_ADD_KIT_SUPPR_ADAPTER_HARNESS
ADD_MAGAZINE,ADDON,ADD,no,NO,NONE
ADD_MAGAZINE,ADDON,ADD,no,YES,YES
ADD_MOUNTING_PLATE_FOR_GK1,ADDON,ADD,no,No,NONE
ADD_PLENUM,ADDON,ADD,no,No,NONE
ADD_PLENUM,ADDON,ADD,no,Yes: 110 mm (27 cc),YES_110_MM_27_CC
ADD_PLENUM,ADDON,ADD,no,Yes: 130 mm (42 cc),YES_130_MM_42_CC
ADD_PLENUM,ADDON,ADD,no,Yes: 150 mm (57 cc),YES_150_MM_57_CC
ADD_RED_DOT_SIGHT,ADDON,ADD,no,No,NONE
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-S 1x17x24 MIC Pistol Green Dot 7075 Alu - SCRD-G43,YES_ADD_FRENZY_S_1X17X24_MIC_PISTOL_GREEN_DOT_7075_ALU_SCRD_G43
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-S 1x17x24 MIC Pistol Red Dot - SCRD-43,YES_ADD_FRENZY_S_1X17X24_MIC_PISTOL_RED_DOT_SCRD_43
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-S 1X17X24 SAS Battery Side Loading - SCRD-62,YES_ADD_FRENZY_S_1X17X24_SAS_BATTERY_SIDE_LOADING_SCRD_62
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-X 1X22X26 AUT Red Dot Auto Light Sensor - SCRD-37,YES_ADD_FRENZY_X_1X22X26_AUT_RED_DOT_AUTO_LIGHT_SENSOR_SCRD_37
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-X 1X22X26 AUT Red Dot FDE - SCRD-59,YES_ADD_FRENZY_X_1X22X26_AUT_RED_DOT_FDE_SCRD_59
ADD_RED_DOT_SIGHT,ADDON,ADD,no,Yes: add Frenzy-X 1X22X26 MOS Red Dot FDE - SCRD-58,YES_ADD_FRENZY_X_1X22X26_MOS_RED_DOT_FDE_SCRD_58
ADD_SUPPRESSOR,ADDON,ADD,no,Evanix Suppressor,EVANIX_SUPPRESSOR
ADD_SUPPRESSOR,ADDON,ADD,no,Hush Suppressor,HUSH_SUPPRESSOR
ADD_SUPPRESSOR,ADDON,ADD,no,No,NONE
ADD_SUPPRESSOR,ADDON,ADD,no,NO suppressor,NO_SUPPRESSOR
ADD_SUPPRESSOR,ADDON,ADD,no,With suppressor,WITH_SUPPRESSOR
ADD_TOOL,ADDON,ADD,no,No,NONE
ADD_TOOL,ADDON,ADD,no,Yes,YES
ADD_TORX_TOOL,ADDON,ADD,no,No,NONE
ADD_TORX_TOOL,ADDON,ADD,no,Yes,YES
ADD_TORX_TOOL,ADDON,ADD,no,Yes: Add Torx tool,YES_ADD_TORX_TOOL
ADD_WEAVER_RAIL,ADDON,ADD,no,No,NONE
ADD_WEAVER_RAIL,ADDON,ADD,no,Yes: Add weaver rail,YES_ADD_WEAVER_RAIL
ADD_WEAVER_RAIL_AND_BIPOD,ADDON,ADD,no,Add weaver rail and bipod,ADD_WEAVER_RAIL_AND_BIPOD
ADD_WEAVER_RAIL_AND_BIPOD,ADDON,ADD,no,No,NONE
ADD_WOLFIEK_GROUP_CASE,ADDON,ADD,no,NO,NONE
ADD_WOLFIEK_GROUP_CASE,ADDON,ADD,no,YES,YES
BARREL_INCLUDED,ADDON,ADD,no,.177 (4.5 MM),177_4_5_MM
BARREL_INCLUDED,ADDON,ADD,no,.20 (5.1 MM),20_5_1_MM
BARREL_INCLUDED,ADDON,ADD,no,.22 (5.5 MM),22_5_5_MM
BARREL_INCLUDED,ADDON,ADD,no,.25 (6.35 MM),25_6_35_MM
BARREL_INCLUDED,ADDON,ADD,no,.30 (7.62 MM),30_7_62_MM
BARREL_INCLUDED,ADDON,ADD,no,ALFA PRECISION,ALFA_PRECISION
BARREL_INCLUDED,ADDON,ADD,no,LOTHAR WALTHER,LOTHAR_WALTHER
BARREL_INCLUDED,ADDON,ADD,no,NO,NONE
BARREL_INCLUDED,ADDON,ADD,no,YES,YES
FORM_INCLUDED,ADDON,ADD,no,NO,NONE
FORM_INCLUDED,ADDON,ADD,no,YES,YES
INCLUDE_BOTTLE,ADDON,ADD,no,No,NONE
INCLUDE_BOTTLE,ADDON,ADD,no,Yes 350cc,YES_350CC
INCLUDE_BOTTLE,ADDON,ADD,no,Yes 470cc,YES_470CC
INCLUDE_BOTTLE,ADDON,ADD,no,Yes 500cc,YES_500CC
INCLUDE_REGULATOR,ADDON,ADD,no,No; I already have a Standard Regulator,NO_I_ALREADY_HAVE_A_STANDARD_REGULATOR
INCLUDE_REGULATOR,ADDON,ADD,no,Standard Regulator (170 BAR),STANDARD_REGULATOR_170_BAR
INCLUDE_SPRING,ADDON,ADD,no,No,NONE
INCLUDE_SPRING,ADDON,ADD,no,Yes include spring,YES_INCLUDE_SPRING
INLINE_FILTER,ADDON,ADD,no,NO,NONE
INLINE_FILTER,ADDON,ADD,no,No,NONE
INLINE_FILTER,ADDON,ADD,no,Yes: add inline drying filter,YES_ADD_INLINE_DRYING_FILTER
INLINE_FILTER,ADDON,ADD,no,Yes: Add inline drying filter,YES_ADD_INLINE_DRYING_FILTER
INLINE_FILTER,ADDON,ADD,no,YES: Add inline drying filter,YES_ADD_INLINE_DRYING_FILTER
IS_THE_SCOPE_INCLUDED,ADDON,ADD,no,EDGUN DEDAL STALKER,EDGUN_DEDAL_STALKER
IS_THE_SCOPE_INCLUDED,ADDON,ADD,no,NO SCOPE,NO_SCOPE
IS_THE_SCOPE_INCLUDED,ADDON,ADD,no,TAURUS 3-18X50 FFP,TAURUS_3_18X50_FFP
IS_THE_SCOPE_INCLUDED,ADDON,ADD,no,VEYRON 3-12X44 SFP,VEYRON_3_12X44_SFP
REPLACE_AIRTANK_FOR_BOTTLE_AND_PLUG,ADDON,ADD,no,No,NONE
REPLACE_AIRTANK_FOR_BOTTLE_AND_PLUG,ADDON,ADD,no,Yes: with bottle and plug,YES_WITH_BOTTLE_AND_PLUG
WITH_ADAPTER,ADDON,ADD,no,No,NONE
WITH_ADAPTER,ADDON,ADD,no,With REFLEX adapter,WITH_REFLEX_ADAPTER
WITH_ADAPTOR,ADDON,ADD,no,NO,NONE
WITH_ADAPTOR,ADDON,ADD,no,WITH ADAPTOR FOR GK1,WITH_ADAPTOR_FOR_GK1
WITH_ADAPTOR,ADDON,ADD,no,WITH ADAPTOR FOR K1,WITH_ADAPTOR_FOR_K1
WITH_BARREL_ADAPTER,ADDON,ADD,no,No,NONE
WITH_BARREL_ADAPTER,ADDON,ADD,no,Yes: 1/2 barrel adapter (VCB-2),YES_1_2_BARREL_ADAPTER_VCB_2
WITH_BOTTLE,ADDON,ADD,no,No,NONE
WITH_BOTTLE,ADDON,ADD,no,Yes: with 500cc bottle,YES_WITH_500CC_BOTTLE
WITH_BOTTLE_PLUG,ADDON,ADD,no,NO,NONE
WITH_BOTTLE_PLUG,ADDON,ADD,no,No,NONE
WITH_BOTTLE_PLUG,ADDON,ADD,no,YES,YES
WITH_BOTTLE_PLUG,ADDON,ADD,no,Yes,YES
WITH_BOTTLE_PLUG_AND_HOSE,ADDON,ADD,no,NO,NONE
WITH_BOTTLE_PLUG_AND_HOSE,ADDON,ADD,no,YES: 1000MM HOSE,YES_1000MM_HOSE
WITH_BOTTLE_PLUG_AND_HOSE,ADDON,ADD,no,YES: 500MM HOSE,YES_500MM_HOSE
WITH_BUTT,ADDON,ADD,no,NO BUTT,NO_BUTT
WITH_BUTT,ADDON,ADD,no,WITH BUTT,WITH_BUTT
WITH_BUTTPAD,ADDON,ADD,no,No,NONE
WITH_BUTTPAD,ADDON,ADD,no,NO BUTTPAD,NO_BUTTPAD
WITH_BUTTPAD,ADDON,ADD,no,WITH BUTTPAD,WITH_BUTTPAD
WITH_BUTTPAD,ADDON,ADD,no,Yes: with buttpad,YES_WITH_BUTTPAD
WITH_CARBON_FIBER_BOTTLE,ADDON,ADD,no,350cc Bottle,350CC_BOTTLE
WITH_CARBON_FIBER_BOTTLE,ADDON,ADD,no,470cc Bottle,470CC_BOTTLE
WITH_CARBON_FIBER_BOTTLE,ADDON,ADD,no,500cc Bottle,500CC_BOTTLE
WITH_CARBON_FIBER_BOTTLE,ADDON,ADD,no,No,NONE
WITH_CROWN,ADDON,ADD,no,No: I already have a Presslug Crown,NO_I_ALREADY_HAVE_A_PRESSLUG_CROWN
WITH_CROWN,ADDON,ADD,no,Yes: with Presslug Crown,YES_WITH_PRESSLUG_CROWN
WITH_EXTENSION_KIT,ADDON,ADD,no,No,NONE
WITH_EXTENSION_KIT,ADDON,ADD,no,Yes,YES
WITH_FIRST_MODULE_OF_REFLEX_SUPPRESSOR,ADDON,ADD,no,No,NONE
WITH_FIRST_MODULE_OF_REFLEX_SUPPRESSOR,ADDON,ADD,no,With first module of reflex suppressor,WITH_FIRST_MODULE_OF_REFLEX_SUPPRESSOR
WITH_GAUGE,ADDON,ADD,no,mEaZy,MEAZY
WITH_GAUGE,ADDON,ADD,no,No,NONE
WITH_GAUGE,ADDON,ADD,no,Wika Black (0 - 250 BAR),WIKA_BLACK_0_250_BAR
WITH_HOSE,ADDON,ADD,no,Hose 1000mm,HOSE_1000MM
WITH_HOSE,ADDON,ADD,no,Hose 500mm,HOSE_500MM
WITH_HOSE,ADDON,ADD,no,No,NONE
WITH_HOSE,ADDON,ADD,no,Sparky MK II,SPARKY_MK_II
WITH_HOSE,ADDON,ADD,no,Sparky MKII,SPARKY_MKII
WITH_HOSE,ADDON,ADD,no,Yes: 1000mm hose,YES_1000MM_HOSE
WITH_HOSE,ADDON,ADD,no,Yes: 500mm hose,YES_500MM_HOSE
WITH_HOSE_AND_BOTTLE_PLUG,ADDON,ADD,no,No,NONE
WITH_HOSE_AND_BOTTLE_PLUG,ADDON,ADD,no,Yes,YES
WITH_HOUSING,ADDON,ADD,no,HOUSING FOR K1 MODEL 2017 - 2018 - 2019 - 2020,HOUSING_FOR_K1_MODEL_2017_2018_2019_2020
WITH_HOUSING,ADDON,ADD,no,HOUSING FOR K1 MODEL 2021 - 2022 - 2023,HOUSING_FOR_K1_MODEL_2021_2022_2023
WITH_HOUSING,ADDON,ADD,no,NO,NONE
WITH_KIT,ADDON,ADD,no,NO,NONE
WITH_KIT,ADDON,ADD,no,YES,YES
WITH_MAGAZINE,ADDON,ADD,no,0,0
WITH_MAGAZINE,ADDON,ADD,no,1,1
WITH_MAGAZINE,ADDON,ADD,no,2,2
WITH_PIN_LOCK,ADDON,ADD,no,No,NONE
WITH_PIN_LOCK,ADDON,ADD,no,Yes: 16mm,YES_16MM
WITH_REGULATOR_INSTALLED,ADDON,ADD,no,NO,NONE
WITH_REGULATOR_INSTALLED,ADDON,ADD,no,YES · EAR 130BAR,YES_EAR_130BAR
WITH_REGULATOR_INSTALLED,ADDON,ADD,no,YES · EAR 160BAR,YES_EAR_160BAR
WITH_REGULATOR_INSTALLED,ADDON,ADD,no,YES · RAPTOR 130BAR,YES_RAPTOR_130BAR
WITH_REGULATOR_INSTALLED,ADDON,ADD,no,YES · RAPTOR 160BAR,YES_RAPTOR_160BAR
WITH_SCOPE,ADDON,ADD,no,No,NONE
WITH_SCOPE,ADDON,ADD,no,Yes: Taurus 5-30x56 FFP,YES_TAURUS_5_30X56_FFP
WITH_SCREWS_AND_SPRING,ADDON,ADD,no,No,NONE
WITH_SCREWS_AND_SPRING,ADDON,ADD,no,Yes: with screws and spring,YES_WITH_SCREWS_AND_SPRING
WITH_SHROUD_EXTENSION,ADDON,ADD,no,No,NONE
WITH_SHROUD_EXTENSION,ADDON,ADD,no,With Shroud Extension,WITH_SHROUD_EXTENSION
WITH_SHROUD_EXTENSION,ADDON,ADD,no,Yes (+ 61 mm),YES_61_MM
WITH_SPARE_O_RINGS,ADDON,ADD,no,NO,NONE
WITH_SPARE_O_RINGS,ADDON,ADD,no,No,NONE
WITH_SPARE_O_RINGS,ADDON,ADD,no,YES,YES
WITH_SPARE_O_RINGS,ADDON,ADD,no,Yes,YES
WITH_SUPPRESSOR,ADDON,ADD,no,No,NONE
WITH_SUPPRESSOR,ADDON,ADD,no,Yes: Hush Suppressor (endcaps included),YES_HUSH_SUPPRESSOR_ENDCAPS_INCLUDED
WITH_TOOL,ADDON,ADD,no,130 BAR,130_BAR
WITH_TOOL,ADDON,ADD,no,160 BAR,160_BAR
WITH_TOOL,ADDON,ADD,no,No,NONE
WITH_TOOL,ADDON,ADD,no,Yes,YES
WITH_TOOL,ADDON,ADD,no,Yes: with tool,YES_WITH_TOOL
WITH_TRI_LUG_PLUG_ADAPTOR,ADDON,ADD,no,NO,NONE
WITH_TRI_LUG_PLUG_ADAPTOR,ADDON,ADD,no,Thread 1/2-20 UNF,THREAD_1_2_20_UNF
WITH_TRI_LUG_PLUG_ADAPTOR,ADDON,ADD,no,Thread M14x1.25,THREAD_M14X1_25
WITH_VALVE,ADDON,ADD,no,No,NONE
WITH_VALVE,ADDON,ADD,no,Yes: ADJT,YES_ADJT
AIR_CAPACITY,AIR_CAPACITY,AIR,yes,1.1L,1_1L
AIR_CAPACITY,AIR_CAPACITY,AIR,yes,1.5L,1_5L
AIR_CAPACITY,AIR_CAPACITY,AIR,yes,2L,2L
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,300cc Bottle + bottom Picatinny Rail,300CC_BOTTLE_BOTTOM_PICATINNY_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,300cc Bottle + extended Arca-Swiss S,300CC_BOTTLE_EXTENDED_ARCA_SWISS_S
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,580cc Bottle + bottom Picatinny Rail,580CC_BOTTLE_BOTTOM_PICATINNY_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,580cc Bottle + extended Arca-Swiss S,580CC_BOTTLE_EXTENDED_ARCA_SWISS_S
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,700cc Bottle + bottom Picatinny Rail,700CC_BOTTLE_BOTTOM_PICATINNY_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,700cc Bottle + extended Arca-Swiss S,700CC_BOTTLE_EXTENDED_ARCA_SWISS_S
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Airtube + Arca-Swiss Rail,AIRTUBE_ARCA_SWISS_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Airtube 300 cc,AIRTUBE_300_CC
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Aluminum Bottle 350 cc,ALUMINUM_BOTTLE_350_CC
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Bottle 300cc + Bottom Picatinny Rail,BOTTLE_300CC_BOTTOM_PICATINNY_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Bottle 300cc + Extended Arca-Swiss S,BOTTLE_300CC_EXTENDED_ARCA_SWISS_S
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Bottle 580cc + Bottom Picatinny Rail,BOTTLE_580CC_BOTTOM_PICATINNY_RAIL
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Bottle 580cc + Extended Arca-Swiss L,BOTTLE_580CC_EXTENDED_ARCA_SWISS_L
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Carbon Fiber Bottle 510 cc,CARBON_FIBER_BOTTLE_510_CC
AIR_RESERVOIR,AIR_RESERVOIR,ARR,yes,Carbon Fiber Bottle 740 cc,CARBON_FIBER_BOTTLE_740_CC
ASSEMBLED,ASSEMBLED,ASS,yes,No,NONE
ASSEMBLED,ASSEMBLED,ASS,yes,Yes: Assembled,YES_ASSEMBLED
ATTACHTMENT,ATTACHTMENT,ATT,yes,M-LOCK,M_LOCK
ATTACHTMENT,ATTACHTMENT,ATT,yes,Picatinny,PICATINNY
BARREL,BARREL,BAR,yes,.177 (4.5mm),177_4_5MM
BARREL,BARREL,BAR,yes,.20 (5.1mm),20_5_1MM
BARREL,BARREL,BAR,yes,.22 (5.5mm),22_5_5MM
BARREL,BARREL,BAR,yes,.25 (6.35mm),25_6_35MM
BARREL,BARREL,BAR,yes,.30 (7.62mm),30_7_62MM
BARREL,BARREL,BAR,yes,"250 MM (9.85"")",250_MM_9_85
BARREL,BARREL,BAR,yes,"250 mm (9.85"")",250_MM_9_85
BARREL,BARREL,BAR,yes,250 MM (9.85”),250_MM_9_85
BARREL,BARREL,BAR,yes,250MM (9.85”),250MM_9_85
BARREL,BARREL,BAR,yes,"30""",30
BARREL,BARREL,BAR,yes,"32""",32
BARREL,BARREL,BAR,yes,"350 MM (13.75"")",350_MM_13_75
BARREL,BARREL,BAR,yes,"350 mm (13.75"")",350_MM_13_75
BARREL,BARREL,BAR,yes,350 MM (13.75”),350_MM_13_75
BARREL,BARREL,BAR,yes,350mm (13.75”),350MM_13_75
BARREL,BARREL,BAR,yes,420 mm,420_MM
BARREL,BARREL,BAR,yes,"450 MM (17.70"")",450_MM_17_70
BARREL,BARREL,BAR,yes,550 mm,550_MM
BARREL,BARREL,BAR,yes,"600 MM (23.60"")",600_MM_23_60
BARREL,BARREL,BAR,yes,700 mm,700_MM
BARREL,BARREL,BAR,yes,Neutral,NEUTRAL
BARREL,BARREL,BAR,yes,Oversized (+),OVERSIZED
BARREL,BARREL,BAR,yes,Undersized (-),UNDERSIZED
BARREL_LENGHT,BARREL_LENGTH,BRL,no,"25"" (635mm)",25_635MM
BARREL_LENGHT,BARREL_LENGTH,BRL,no,"35"" (890mm)",35_890MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"13"" (330 mm)",13_330_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"17"" (432mm)",17_432MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"18"" (450 mm)",18_450_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"25"" (635mm)",25_635MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"28"" (711mm)",28_711MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,300 mm,300_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"32""",32
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"330mm (13"")",330MM_13
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"350 mm (13.75"")",350_MM_13_75
BARREL_LENGTH,BARREL_LENGTH,BRL,no,350mm,350MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,420 mm,420_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,420mm,420MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"450 mm (17.70"")",450_MM_17_70
BARREL_LENGTH,BARREL_LENGTH,BRL,no,450mm,450MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"450mm (18"")",450MM_18
BARREL_LENGTH,BARREL_LENGTH,BRL,no,550 mm,550_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,550mm,550MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,"600 mm (23.60"")",600_MM_23_60
BARREL_LENGTH,BARREL_LENGTH,BRL,no,600mm,600MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,700 mm,700_MM
BARREL_LENGTH,BARREL_LENGTH,BRL,no,700mm,700MM
BARREL_TYPE,BARREL_TYPE,BRR,yes,CZUB non-choked,CZUB_NON_CHOKED
BARREL_TYPE,BARREL_TYPE,BRR,yes,LW polygonal non-choked,LW_POLYGONAL_NON_CHOKED
BEHEMOTH,BEHEMOTH,BEH,yes,BOX,BOX
BEHEMOTH,BEHEMOTH,BEH,yes,EDGUN CASE,EDGUN_CASE
BEHEMOTH,BEHEMOTH,BEH,yes,Picatinny,PICATINNY
BEHEMOTH,BEHEMOTH,BEH,yes,Picatinny Muzzle,PICATINNY_MUZZLE
BEHEMOTH,BEHEMOTH,BEH,yes,Reflex,REFLEX
BEHEMOTH,BEHEMOTH,BEH,yes,Reflex Muzzle,REFLEX_MUZZLE
BOLT_NUT,BOLT_NUT,BOL,yes,No,NONE
BOLT_NUT,BOLT_NUT,BOL,yes,Yes: include bolt/nut,YES_INCLUDE_BOLT_NUT
BOTTLE,BOTTLE,BOT,no,300cc,300CC
BOTTLE,BOTTLE,BOT,no,300CC,300CC
BOTTLE,BOTTLE,BOT,no,350cc,350CC
BOTTLE,BOTTLE,BOT,no,470cc (with 16mm pin lock),470CC_WITH_16MM_PIN_LOCK
BOTTLE,BOTTLE,BOT,no,580cc,580CC
BOTTLE,BOTTLE,BOT,no,580CC,580CC
BOTTLE,BOTTLE,BOT,no,Aluminum,ALUMINUM
BOTTLE,BOTTLE,BOT,no,Aluminum 500 cc,ALUMINUM_500_CC
BOTTLE,BOTTLE,BOT,no,Carbon Fiber,CARBON_FIBER
BOTTLE,BOTTLE,BOT,no,Carbon Fiber 500 cc,CARBON_FIBER_500_CC
BOTTLE,BOTTLE,BOT,no,Carbon Fiber 740 cc,CARBON_FIBER_740_CC
BOTTLE_PLUG,BOTTLE_PLUG,BTT,yes,NO,NONE
BOTTLE_PLUG,BOTTLE_PLUG,BTT,yes,YES,YES
BOX,BOX,BOX,yes,BOX,BOX
BUILD_YOUR_OWN,BUILD_YOUR_OWN,BUI,yes,With hard case and tank,WITH_HARD_CASE_AND_TANK
BUILD_YOUR_OWN,BUILD_YOUR_OWN,BUI,yes,Without hard case and tank,WITHOUT_HARD_CASE_AND_TANK
BUTT,BUTT,BUT,no,Laminated,LAMINATED
BUTT,BUTT,BUT,no,Synthetic,SYNTHETIC
BUTT,BUTT,BUT,no,Walnut,WALNUT
BUTT_EXTENSION,BUTT_EXTENSION,BU0,yes,LONG,LONG
BUTT_EXTENSION,BUTT_EXTENSION,BU0,yes,SHORT,SHORT
BUTT_EXTENSION,BUTT_EXTENSION,BU0,yes,STANDARD,STANDARD
BUTT_EXTENSION_LENGTH,BUTT_EXTENSION_LENGTH,BU1,yes,"116mm (4.6"")",116MM_4_6
BUTT_EXTENSION_LENGTH,BUTT_EXTENSION_LENGTH,BU1,yes,"136mm (5.4"")",136MM_5_4
BUTT_KIT,BUTT_KIT,BU2,yes,With Butt Kit,WITH_BUTT_KIT
BUTT_KIT,BUTT_KIT,BU2,yes,Without Butt Kit,WITHOUT_BUTT_KIT
BUTTON,BUTTON,BU,no,Black,BLACK
BUTTON,BUTTON,BU,no,Red,RED
CAL,CALIBER,CAL,no,.177 (4.5 mm),177_4_5_MM
CAL,CALIBER,CAL,no,.177 (4.5 MM),177_4_5_MM
CAL,CALIBER,CAL,no,.177 (4.5MM),177_4_5MM
CAL,CALIBER,CAL,no,.177 (4.5mm),177_4_5MM
CAL,CALIBER,CAL,no,.20 (5.1MM),20_5_1MM
CAL,CALIBER,CAL,no,.22 (5.5 MM),22_5_5_MM
CAL,CALIBER,CAL,no,.22 (5.5MM),22_5_5MM
CAL,CALIBER,CAL,no,.22 (5.5mm),22_5_5MM
CAL,CALIBER,CAL,no,.25 (6.35 MM),25_6_35_MM
CAL,CALIBER,CAL,no,.25 (6.35MM),25_6_35MM
CAL,CALIBER,CAL,no,.25 (6.35mm),25_6_35MM
CAL,CALIBER,CAL,no,.30 (7.62MM),30_7_62MM
CAL,CALIBER,CAL,no,.30 (7.62mm),30_7_62MM
CALBER,CALIBER,CAL,no,.177 (4.5MM),177_4_5MM
CALBER,CALIBER,CAL,no,.22 (5.5MM),22_5_5MM
CALBER,CALIBER,CAL,no,.25 (6.35MM),25_6_35MM
CALIBER,CALIBER,CAL,no,.177,177
CALIBER,CALIBER,CAL,no,.177 (4.5 MM),177_4_5_MM
CALIBER,CALIBER,CAL,no,.177 (4.5 mm),177_4_5_MM
CALIBER,CALIBER,CAL,no,.177 (4.5 mm) / .22 (5.5 mm) / .25 (6.35 mm),177_4_5_MM_22_5_5_MM_25_6_35_MM
